"estacion_de_peaje","anio","mes","codigo_estacion","departamento","trafico_efectivo_i","trafico_efectivo_ie","trafico_efectivo_iea","trafico_efectivo_ieb","trafico_efectivo_iee","trafico_efectivo_ieq","trafico_efectivo_ii","trafico_efectivo_iia","trafico_efectivo_iie","trafico_efectivo_iiee","trafico_efectivo_iieq","trafico_efectivo_iie_rev","trafico_efectivo_iii","trafico_efectivo_iiie","trafico_efectivo_iiip","trafico_efectivo_iiig","trafico_efectivo_iv","trafico_efectivo_vi","trafico_efectivo_vii","trafico_efectivo_ieb_2","trafico_efectivo_ive","trafico_efectivo_v","trafico_efectivo_v_b","trafico_efectivo_v_b_a","trafico_efectivo_v_e","trafico_total","vehiculos_iprev_i","vehiculos_iprev_ie","vehiculos_iprev_iea","vehiculos_iprev_ieb","vehiculos_iprev_ieq","vehiculos_iprev_ii","vehiculos_iprev_iie","vehiculos_iprev_iiee","vehiculos_iprev_iieq","vehiculos_iprev_iii","vehiculos_iprev_iiie","vehiculos_iprev_iiip","vehiculos_iprev_iiig","vehiculos_iprev_iv","vehiculos_iprev_ive","vehiculos_iprev_v","vehiculos_iprev_vb","vehiculos_iprev_ve","vehiculos_iprev_vi","vehiculos_iprev_vii","total_veh_iprev","ejes_iprev_ejes_grua","ejes_iprev_ejes_remolque","ejes_iprev_ejes_adicionales","ejes_iprev_ejes_caneros","total_ejes","ejes_efectivo_ejes_grua","ejes_efectivo_ejes_remolque","ejes_efectivo_ejes_adicionales","ejes_efectivo_ejes_caneros","total_ejes_2","tiquetes_prepago_i","tiquetes_prepago_ie","tiquetes_prepago_iea","tiquetes_prepago_ieb","tiquetes_prepago_ieq","tiquetes_prepago_ii","tiquetes_prepago_iii","tiquetes_prepago_iie","tiquetes_prepago_iiee","tiquetes_prepago_iieq","tiquetes_prepago_iii_2","tiquetes_prepago_iiie","tiquetes_prepago_iiip","tiquetes_prepago_iiig","tiquetes_prepago_iv","tiquetes_prepago_ive","tiquetes_prepago_v","tiquetes_prepago_vb","tiquetes_prepago_ve","tiquetes_prepago_vi","tiquetes_prepago_vii","total_prepagos","evasores_unidad_i","evasores_unidad_ie","evasores_unidad_iea","evasores_unidad_ieb","evasores_unidad_ieq","evasores_unidad_ii","evasores_unidad_iie","evasores_unidad_iiee","evasores_unidad_iieq","evasores_unidad_iii","evasores_unidad_iiie","evasores_unidad_iiig","evasores_unidad_iiip","evasores_unidad_iv","evasores_unidad_ive","evasores_unidad_v","evasores_unidad_vi","evasores_unidad_vii","evasores_unidad_vb","evasores_unidad_ve","total_evasores","veh_res_3694_de_2007_ie","veh_res_3694_de_2007_iie","veh_res_3694_de_2007_total","total_veh_efectivo_prepagos","exentos_res0000015_koran","exentos_ley_787_2002_i","exentos_ley_787_2002_ii","exentos_ley_787_2002_iii","exentos_ley_787_2002_iiip","exentos_ley_787_2002_iiig","exentos_ley_787_2002_iv","exentos_ley_787_2002_v","exentos_ley_787_2002_vb","exentos_ley_787_2002_vi","exentos_ley_787_2002_vii","exentos_ley_787_2002_total","ea","eg","er","total_veh_efectivo_prepagos_1","exentos_res0000015_koran_1","exentos_emergencia_vial_cat","exentos_emergencia_vial_cat_1","exentos_emergencia_vial_total","exonerados_invias_i","exonerados_invias_ii","exonerados_invias_iii","exonerados_invias_iv","exonerados_invias_v","exonerados_invias_vi","exonerados_invias_vii","exonerados_invias_iiip","exonerados_invias_iiig","total_exonerados_invias"
"ACAPULCO","2005","Enero","00001","CALDAS","49309",,,,,,"13600",,,,,,"279",,,,"191",,,,,"370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGUAS NEGRAS","2005","Enero","00045","SANTANDER","51893",,,,,,"25727",,,,,,"4354",,,,"7450",,,,,"13250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALTAMIRA","2005","Enero","00002","HUILA","47574",,,,,,"15835",,,,,,"2479",,,,"654",,,,,"1091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALVARADO","2005","Enero","00003","TOLIMA","70507",,,,,,"20924",,,,,,"1789",,,,"2377",,,,,"5133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMAGA","2005","Enero","00004","ANTIOQUIA","92917",,,,,,"38261",,,,,,"3624",,,,"184",,,,,"423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARCABUCO","2005","Enero","00005","BOYACA","52895",,,,,,"18468",,,,,,"1271",,,,"1250",,,,,"2888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAYUNCA","2005","Enero","#N/D","BOLIVAR","12762",,,,,,"28945",,,,,,"3438",,,,"3997",,,,,"3133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BICENTENARIO","2005","Enero","00006","CUNDINAMARCA","99857",,,,,,"42459",,,,,,"6362",,,,"10596",,,,,"10390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAIQUERO","2005","Enero","#N/D","CUNDINAMARCA","111116",,,,,,"14216",,,,,,"275",,,,"25",,,,,"78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAJAMARCA","2005","Enero","00007","TOLIMA","73697",,,,,,"46746",,,,,,"7080",,,,"8368",,,,,"16146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALAMAR","2005","Enero","00008","BOLIVAR","25546",,,,,,"16846",,,,,,"1597",,,,"1857",,,,,"3624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANO","2005","Enero","00045","NARIÑO","28847",,,,,,"18269",,,,,,"3563",,,,"2312",,,,,"3879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARIMAGUA","2005","Enero","00009","CORDOBA","36101",,,,,,"15231",,,,,,"3241",,,,"5162",,,,,"6547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CERRITOS II","2005","Enero","00066","RISARALDA","180728",,,,,,"68563",,,,,,"4359",,,,"6779",,,,,"8547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CISNEROS","2005","Enero","00011","ANTIOQUIA","21562",,,,,,"12307",,,,,,"960",,,,"2024",,,,,"1410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COPEY","2005","Enero","#N/D","CESAR","55127",,,,,,"30445",,,,,,"2847",,,,"6911",,,,,"32228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CRUCERO","2005","Enero","00012","BOYACA","30461",,,,,,"13556",,,,,,"1227",,,,"517",,,,,"1009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL BORDO","2005","Enero","00013","CAUCA","28365",,,,,,"23046",,,,,,"3816",,,,"2425",,,,,"4006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL CARMEN","2005","Enero","00044","BOLIVAR","51557",,,,,,"24847",,,,,,"2822",,,,"3332",,,,,"6244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL DIFICIL","2005","Enero","#N/D","MAGADALENA","27032",,,,,,"9462",,,,,,"1856",,,,"2982",,,,,"5954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EL PLACER","2005","Enero","00047","NARIÑO","85898",,,,,,"25462",,,,,,"3728",,,,"1672",,,,,"2557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GALAPA","2005","Enero","#N/D","ATLANTICO","44038",,,,,,"56714",,,,,,"2753",,,,"3521",,,,,"3123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GAMBOTE","2005","Enero","#N/D","BOLIVAR","60342",,,,,,"28677",,,,,,"4691",,,,"6907",,,,,"9214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GUALANDAY","2005","Enero","#N/D","TOLIMA","177213",,,,,,"80119",,,,,,"8430",,,,"10158",,,,,"18988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HONDA","2005","Enero","00014","TOLIMA","86810",,,,,,"27902",,,,,,"2035",,,,"2835",,,,,"6045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS ACACIOS","2005","Enero","#N/D","CORDOBA","89778",,,,,,"30003",,,,,,"3874",,,,"4978",,,,,"7329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA ESPERANZA","2005","Enero","00017","SUCRE","55848",,,,,,"15537",,,,,,"1793",,,,"3035",,,,,"2090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA GOMEZ","2005","Enero","00046","SANTANDER","40409",,,,,,"17676",,,,,,"3027",,,,"5350",,,,,"10708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA LOMA","2005","Enero","#N/D","CESAR","65744",,,,,,"28862",,,,,,"4339",,,,"9417",,,,,"37978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA PINTADA","2005","Enero","00018","ANTIOQUIA","8660",,,,,,"3225",,,,,,"518",,,,"140",,,,,"308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEBRIJA","2005","Enero","00021","SANTANDER","98781",,,,,,"25844",,,,,,"990",,,,"1073",,,,,"1752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOBOGUERRERO","2005","Enero","00065","VALLE DEL CAUCA","59351",,,,,,"16917",,,,,,"4816",,,,"13995",,,,,"18648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS ACACIOS","2005","Enero","#N/D","NORTE DE SANTANDER","106273",,,,,,"30886",,,,,,"1947",,,,"2449",,,,,"4236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS CAUCHOS","2005","Enero","00019","HUILA","82273",,,,,,"23985",,,,,,"2958",,,,"1177",,,,,"1752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS CEDROS","2005","Enero","#N/D","CORDOBA","29769",,,,,,"12855",,,,,,"513",,,,"68",,,,,"58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOS LLANOS","2005","Enero","00020","ANTIOQUIA","63814",,,,,,"30328",,,,,,"3641",,,,"4960",,,,,"6880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MACHETA","2005","Enero","00021","CUNDINAMARCA","28142",,,,,,"10686",,,,,,"334",,,,"44",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MATA DE CAÑA","2005","Enero","00022","CORDOBA","65621",,,,,,"17686",,,,,,"854",,,,"717",,,,,"222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MORRISON","2005","Enero","00047","CESAR","79466",,,,,,"33650",,,,,,"4950",,,,"6973",,,,,"18984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PANDEQUESO","2005","Enero","#N/D","ANTIOQUIA","80173",,,,,,"43675",,,,,,"3874",,,,"5085",,,,,"6982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PICACHO","2005","Enero","00024","SANTANDER","45305",,,,,,"19572",,,,,,"1866",,,,"2266",,,,,"4004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PONEDERA","2005","Enero","#N/D","ATLANTICO","38433",,,,,,"30509",,,,,,"1584",,,,"1917",,,,,"3647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRIMAVERA","2005","Enero","00025","ANTIOQUIA","82070",,,,,,"42619",,,,,,"4424",,,,"6268",,,,,"6604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUENTE PLATO","2005","Enero","#N/D","MAGADALENA","20393",,,,,,"7815",,,,,,"1880",,,,"2963",,,,,"5906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUERTO BERRIO","2005","Enero","00026","ANTIOQUIA","19115",,,,,,"11566",,,,,,"1045",,,,"2031",,,,,"1411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PURGATORIO","2005","Enero","#N/D","CORDOBA","66371",,,,,,"20403",,,,,,"901",,,,"356",,,,,"906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO BLANCO","2005","Enero","00027","SANTANDER","52368",,,,,,"22863",,,,,,"2364",,,,"1742",,,,,"8785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO FRIO","2005","Enero","00028","VALLE DEL CAUCA","23022",,,,,,"5224",,,,,,"552",,,,"1351",,,,,"1057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO NEGRO","2005","Enero","00047","SANTANDER","44883",,,,,,"17194",,,,,,"1271",,,,"725",,,,,"3120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO SINU","2005","Enero","#N/D","CORDOBA","68008",,,,,,"62000",,,,,,"72678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RIO SOGAMOSO","2005","Enero","00029","SANTANDER","52152",,,,,,"19604",,,,,,"1731",,,,"1899",,,,,"3209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SACHICA","2005","Enero","00030","BOYACA","42841",,,,,,"6706",,,,,,"416",,,,"88",,,,,"170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN JUAN","2005","Enero","00032","LA GUAJIRA","66189",,,,,,"9495",,,,,,"539",,,,"325",,,,,"855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN ONOFRE","2005","Enero","00033","SUCRE","20032",,,,,,"10079",,,,,,"1694",,,,"2826",,,,,"1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN PEDRO","2005","Enero","00034","CASANARE","26016",,,,,,"6542",,,,,,"648",,,,"2545",,,,,"889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SANCLEMENTE","2005","Enero","#N/D","RISARALDA","11067",,,,,,"6325",,,,,,"229",,,,"159",,,,,"362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SUPIA","2005","Enero","00035","CALDAS","61103",,,,,,"34186",,,,,,"3694",,,,"5797",,,,,"6949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARAPACA","2005","Enero","#N/D","CALDAS","393",,,,,,"400",,,,,,"0",,,,"0",,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TARAZA","2005","Enero","00036","ANTIOQUIA","70565",,,,,,"23891",,,,,,"3482",,,,"4915",,,,,"7167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TORO","2005","Enero","00037","VALLE DEL CAUCA","18648",,,,,,"4099",,,,,,"97",,,,"75",,,,,"52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TUCURINCA","2005","Enero","#N/D","MAGADALENA","61985",,,,,,"36604",,,,,,"3413",,,,"7124",,,,,"25233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VALENCIA","2005","Enero","#N/D","CESAR","36147",,,,,,"20855",,,,,,"1368",,,,"733",,,,,"1706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZAMBITO","2005","Enero","00044","SANTANDER","45232",,,,,,"22347",,,,,,"4072",,,,"7252",,,,,"12037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACAPULCO","2005","Febrero","00001","CALDAS","34244",,,,,,"12127",,,,,,"329",,,,"333",,,,,"363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGUAS NEGRAS","2005","Febrero","00045","SANTANDER","16105",,,,,,"20401",,,,,,"4183",,,,"7176",,,,,"12651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALTAMIRA","2005","Febrero","00002","HUILA","33622",,,,,,"14232",,,,,,"2414",,,,"603",,,,,"989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALVARADO","2005","Febrero","00003","TOLIMA","44339",,,,,,"19441",,,,,,"1735",,,,"2360",,,,,"4886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMAGA","2005","Febrero","00004","ANTIOQUIA","65803",,,,,,"35396",,,,,,"3906",,,,"184",,,,,"388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARCABUCO","2005","Febrero","00005","BOYACA","25773",,,,,,"16134",,,,,,"1226",,,,"1301",,,,,"2501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BAYUNCA","2005","Febrero","#N/D","BOLIVAR","8838",,,,,,"27653",,,,,,"3801",,,,"3645",,,,,"3153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
