"nombre_departamento","nombre_municipio","nombre_servicio","estado_del_vehiculo","nombre_de_la_clase","fecha_de_registro","cantidad","mes_de_publicacion","a_o_de_publicacion"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1900","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1900","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","BUSETA","1901","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1927","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1928","6","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1928","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1928","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1929","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1929","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1930","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1931","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1931","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1932","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1934","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1934","31","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1934","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1934","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1935","8","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1935","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1936","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1936","27","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUSETA","1936","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1936","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1936","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1936","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1936","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1937","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1937","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1937","48","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1937","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1937","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1937","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1937","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1937","12","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1938","53","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1938","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1938","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1938","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMIONETA","1938","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1938","11","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1939","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1939","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1939","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1939","184","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1939","23","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1939","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1939","37","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1939","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1939","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1940","180","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1940","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1940","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1940","9","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1940","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1940","6","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1940","35","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1940","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1941","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1941","240","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1941","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1941","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUSETA","1941","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1941","28","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","INCONSISTENTE","CAMION","1941","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1941","6","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1941","51","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1941","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1942","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1942","115","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1942","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1942","15","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1942","28","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMION","1942","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1942","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1942","34","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1942","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1942","6","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MOTOCICLETA","1942","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1942","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1943","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1943","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1944","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1944","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1944","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1945","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1945","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1945","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1945","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1945","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","TRACTOCAMION","1945","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","TRACTOCAMION","1945","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1946","15","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1946","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1946","476","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1946","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1946","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1946","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1946","171","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1946","47","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMION","1946","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1946","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1946","240","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1946","23","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1946","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMIONETA","1946","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1946","30","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMPERO","1946","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","TRACTOCAMION","1946","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","TRACTOCAMION","1946","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1946","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","VOLQUETA","1946","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1947","10","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1947","13","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1947","713","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1947","10","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1947","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1947","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1947","11","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1947","46","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1947","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMIONETA","1947","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1947","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1947","130","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1947","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1947","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MOTOCICLETA","1947","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","VOLQUETA","1947","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1947","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1948","14","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1948","1016","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1948","23","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OTROS","ACTIVO","AUTOMOVIL","1948","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1948","15","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","BUS","1948","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1948","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1948","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1948","67","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMION","1948","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1948","18","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1948","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMIONETA","1948","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1948","228","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1948","8","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1948","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1948","14","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MICROBUS","1948","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1948","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","VOLQUETA","1948","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1949","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1949","259","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OTROS","ACTIVO","AUTOMOVIL","1949","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1949","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1949","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1949","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1949","6","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1949","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1949","43","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1949","15","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1949","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1949","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1949","116","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1949","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MOTOCICLETA","1949","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","TRACTOCAMION","1949","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","TRACTOCAMION","1949","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1949","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","VOLQUETA","1949","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1950","1324","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1950","23","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1950","18","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1950","21","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1950","20","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1950","14","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUSETA","1950","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMION","1950","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1950","72","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1950","188","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1950","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1950","9","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMIONETA","1950","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1950","545","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1950","24","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMPERO","1950","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1950","79","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MICROBUS","1950","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","TRACTOCAMION","1950","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","VOLQUETA","1950","6","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","VOLQUETA","1950","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1950","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1951","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1951","235","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1951","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1951","4","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1951","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1951","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","INCONSISTENTE","CAMION","1951","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1951","121","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1951","44","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMION","1951","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1951","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1951","423","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMIONETA","1951","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1951","14","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1951","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1951","39","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMPERO","1951","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MOTOCICLETA","1951","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","TRACTOCAMION","1951","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1951","12","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","VOLQUETA","1951","5","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1952","15","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1952","17","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1952","711","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1952","11","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","INCONSISTENTE","AUTOMOVIL","1952","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1952","7","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1952","10","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","BUS","1952","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUSETA","1952","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMION","1952","2","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1952","45","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1952","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMION","1952","112","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMIONETA","1952","12","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMIONETA","1952","564","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","CAMIONETA","1952","6","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMIONETA","1952","15","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMPERO","1952","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","CAMPERO","1952","50","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MICROBUS","1952","13","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","MOTOCICLETA","1952","3","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","INCONSISTENTE","TRACTOCAMION","1952","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","TRACTOCAMION","1952","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","VOLQUETA","1952","9","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","VOLQUETA","1952","12","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","AUTOMOVIL","1953","43","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","AUTOMOVIL","1953","37","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","AUTOMOVIL","1953","2498","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","OFICIAL","ACTIVO","AUTOMOVIL","1953","27","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","BUS","1953","20","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUS","1953","26","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","ACTIVO","BUSETA","1953","1","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PÚBLICO","ACTIVO","CAMION","1953","71","ABRIL","2026"
"BOGOTA D.C.","BOGOTA","PARTICULAR","INCONSISTENTE","CAMION","1953","6","ABRIL","2026"
